symptom_family,candidate_id,publication_label,entry_type,mechanism_category,physical_meaning,instantiated_true_cause,formal_case_id_if_instantiated,available_observational_evidence,reference_state_check_available,active_verification_available
LOW_VOLTAGE,OTHER_INSUFFICIENT_EVIDENCE,Insufficient evidence / unresolved bounded diagnosis,ABSTENTION_STATE,unresolved diagnostic state,The bounded inspections do not identify a retained physical mechanism with sufficient evidence.,false,,none,false,false
LOW_VOLTAGE,excessive_local_reactive_demand,Excessive local reactive demand,CAUSAL_MECHANISM,load setpoint,Local reactive demand is changed relative to the trusted operating point.,true,case_02,voltage_local_load_injections,true,true
LOW_VOLTAGE,generator_reactive_limit_saturation,Generator reactive-power limit saturation,CAUSAL_MECHANISM,equipment limit,A relevant generator is at a trustworthy reactive-power limit.,false,,voltage_generator_control_and_reactive_state,true,false
LOW_VOLTAGE,generator_voltage_control_configuration,Generator voltage-control configuration mismatch,CAUSAL_MECHANISM,control configuration,Generator voltage-control configuration differs from the trusted operating configuration.,true,case_01,voltage_generator_control_and_reactive_state,true,true
LOW_VOLTAGE,local_topology_weakening,Local topology weakening,CAUSAL_MECHANISM,topology/service state,The bounded local electrical topology or service state is weakened relative to trusted operation.,false,,voltage_shunt_state; voltage_local_topology,true,false
LOW_VOLTAGE,shunt_compensation_state_or_capability,Shunt compensation state or capability difference,CAUSAL_MECHANISM,shunt state/capability,"Local shunt service, switching, capability, or injection state differs from trusted operation.",false,,voltage_shunt_state; voltage_local_load_injections; voltage_local_topology,true,false
NONCONVERGENCE,OTHER_INSUFFICIENT_EVIDENCE,Insufficient evidence / unresolved bounded diagnosis,ABSTENTION_STATE,unresolved diagnostic state,The bounded inspections do not identify a retained physical mechanism with sufficient evidence.,false,,none,false,false
NONCONVERGENCE,discrete_control_or_limit_conflict,Discrete-control or limit conflict,CAUSAL_MECHANISM,control/limit state,An observable discrete control or limit state conflicts with trusted operation.,false,,nonconvergence_solver_configuration; nonconvergence_physical_operating_point; nonconvergence_discrete_control_state,true,false
NONCONVERGENCE,execution_load_flow_configuration,Load-flow execution-configuration mismatch,CAUSAL_MECHANISM,execution configuration,The approved load-flow execution configuration differs from the trusted configuration.,true,case_05,nonconvergence_solver_configuration,true,true
NONCONVERGENCE,obvious_model_data_inconsistency,Supported basic model-data inconsistency,CAUSAL_MECHANISM,model integrity,A supported basic model-integrity anomaly is present.,false,,nonconvergence_connectivity_and_reference_state; nonconvergence_basic_model_consistency,true,false
NONCONVERGENCE,physical_operating_point_stress,Physical operating-point stress,CAUSAL_MECHANISM,physical operating state,The approved physical operating point has changed in the existing stress group.,true,case_06,nonconvergence_physical_operating_point,true,true
NONCONVERGENCE,topology_islanding_or_disconnection,Topology islanding or disconnection,CAUSAL_MECHANISM,topology/connectivity,"Connectivity, islanding, or terminal service state differs from trusted operation.",false,,nonconvergence_connectivity_and_reference_state; nonconvergence_discrete_control_state; nonconvergence_basic_model_consistency,true,false
NONCONVERGENCE,unavailable_reference_or_slack_source,Unavailable reference or slack source,CAUSAL_MECHANISM,reference-source availability,The trusted reference source is unavailable or disconnected from the principal component.,false,,nonconvergence_connectivity_and_reference_state,true,false
THERMAL_OVERLOAD,OTHER_INSUFFICIENT_EVIDENCE,Insufficient evidence / unresolved bounded diagnosis,ABSTENTION_STATE,unresolved diagnostic state,The bounded inspections do not identify a retained physical mechanism with sufficient evidence.,false,,none,false,false
THERMAL_OVERLOAD,explicit_non_slack_generator_redispatch,Explicit non-slack generator redispatch,CAUSAL_MECHANISM,generation dispatch,An explicit non-slack generator setpoint change redistributes active or reactive power.,false,,thermal_local_generation_and_load_injections,true,false
THERMAL_OVERLOAD,line_thermal_rating_parameter,Line thermal-rating parameter error,CAUSAL_MECHANISM,equipment rating,The monitored line thermal-rating parameter differs from trusted operation.,true,case_03,thermal_monitored_line_physical_state,true,true
THERMAL_OVERLOAD,local_load_or_injection_stress,Local load or injection stress,CAUSAL_MECHANISM,physical operating state,Local load or explicit non-reference injection setpoints are stressed relative to trusted operation.,true,case_04,thermal_local_generation_and_load_injections; thermal_reactive_and_power_factor_state,true,true
THERMAL_OVERLOAD,neighboring_branch_or_transformer_outage_or_path_change,Neighboring branch/transformer outage or path change,CAUSAL_MECHANISM,topology/path state,"A neighboring branch, transformer, or network path changes service or connectivity.",false,,thermal_local_topology; thermal_transformer_flow_control_state,true,false
THERMAL_OVERLOAD,reactive_demand_or_power_factor_deterioration,Reactive-demand or power-factor deterioration,CAUSAL_MECHANISM,reactive operating state,Reactive demand or directly derived line power factor deteriorates relative to trusted operation.,false,,thermal_monitored_line_physical_state; thermal_local_generation_and_load_injections; thermal_reactive_and_power_factor_state,true,false
THERMAL_OVERLOAD,transformer_tap_or_phase_shift_flow_control,Transformer tap or phase-shift flow-control difference,CAUSAL_MECHANISM,transformer flow control,A nearby transformer flow-control state changes in a way relevant to branch flows.,false,,thermal_local_topology; thermal_transformer_flow_control_state,true,false
